Word,Number
worst service,2
telephone service,1
frills service,1
configuration service,1
class service,2
ridiculous service,1
table service,1
general service,1
their services,5
less service,1
queue service,1
bad service,3
lacks service,1
european service,1
nice service,1
deteriorating service,1
checkin service,3
existent service,1
requiring service,1
no service,1
on service,1
buyonboard service,1
why service,1
777 service,1
counter service,1
gate service,1
2nd service,1
inflight service,6
this service,2
crew service,4
beverage service,2
any services,1
food service,10
train services,1
airline service,1
pathetic service,1
bas service,1
this services,1
ryanair service,1
all service,1
more service,1
sales service,1
heathrow service,1
complimentary service,1
different services,1
0,1624
and services,2
customer services,26
disgusting service,1
world service,2
any service,3
catering service,2
onboard service,3
snack service,1
breakfast service,2
trolley service,1
air service,1
ok service,1
about service,1
indifferent service,1
humourless service,1
customer service,138
a service,4
terrible service,7
cost service,4
excellent service,5
subpar service,2
outdated service,1
polite service,1
downgraded service,1
london service,1
pleasant service,1
the services,2
rows service,1
chaotic service,1
drop service,1
awful service,1
get service,1
attendant service,1
uncomfortable service,1
31 service,1
for service,1
every service,1
great service,3
and service,14
poor service,16
disappointing service,2
cheap service,1
for services,1
helpline service,1
drinks service,3
its service,2
inadequate service,1
luggagecustomer service,1
existent services,1
drink service,3
appalling service,4
to service,5
in service,4
cost services,1
ultraeconomy service,1
good service,4
boarding service,1
same service,1
equivalent service,1
our service,1
towel service,1
room service,1
nicer services,1
horrible service,3
staff service,4
lounge service,1
better service,7
terminals service,1
 service,2
solution service,1
premium service,2
be service,1
quality service,3
disgraceful service,1
bob service,1
disinterested service,1
overall service,1
delivering service,1
special services,1
of services,2
basic service,1
mediocre services,1
new service,1
meal services,1
customers services,1
personal service,1
their service,9
hours service,1
bar service,2
or service,2
unreliable service,1
as service,1
meal service,20
cabin service,6
beverage services,1
well service,1
shoddy service,1
airways service,3
narrow service,1
wifi service,1
ground service,6
unimpressed service,1
dinner service,1
cabin services,4
evening service,1
slow service,2
however service,1
the service,78
ba service,8
2 services,1
relations service,1
of service,18
basic services,1
gracious service,1
free service,3
bones service,1
splendid service,1
understanding service,1
board service,5
full service,7
road services,1
food services,1
miserable service,1
self service,3
sleeper service,2
lunch service,1
breakfastsnack service,1
night service,1
